日期,星期,品項,付款方式,金額,刷卡金額,分類項目,備註,固定開銷,總花費,本月收支餘額,,,金額,占總消費百分比
2026/5/1,五,午餐,J卡Point,,-610,其它,,,,-28894,,,,
2026/5/1,五,代墊小灶,現金,-500,,其它,邱念慈1520算1500，給2000找500,,,總收入,,,,
2026/5/1,五,全聯,熊卡,,-64,家用,,,,81560,,,,
2026/5/1,五,蝦皮,現金,-316,,其它,,,,,,,,
2026/5/1,五,家用,現金,-10000,,家用,,,,,,,,
2026/5/1,五,晚餐,現金,-165,,食,,,,,,,,
2026/5/2,六,小七,J卡Point,,-146,家用,,,,,,,,
2026/5/2,六,晚餐,J卡Point,,-510,家用,,,,,,,,
2026/5/2,六,餛飩皮,現金,-140,,其它,小灶代墊,,,,,,,
2026/5/3,日,牙線,J卡Point,,-29,家用,,,,,,,,
2026/5/3,日,沐浴球,J卡Point,,-235,育兒,,,,,,,,
2026/5/3,日,衛生紙,J卡Point,,-149,家用,,,,,,,,
2026/5/4,一,早餐,熊卡,,-49,食,,,,,,,,
2026/5/4,一,午餐,現金,-135,,食,,,,,,,,
2026/5/5,二,午餐,現金,-125,,食,,,,,,,,
2026/5/5,二,薪資,收入,62200,,收入,,,,,,,,
2026/5/5,二,勞保費,現金,-1145,,保險,,,,,,,,
2026/5/5,二,健保費,現金,-990,,保險,,,,,,,,
2026/5/5,二,福利金,現金,-311,,其它,,,,,,,,
2026/5/5,二,持股信託,現金,-1000,,投資,,,,,,,,
2026/5/5,二,日昇房貸,現金,-23804,,住,四個月房貸總額-補差額,,,,,,,
2026/5/5,二,晚餐,J卡Point,,-401,家用,,,,,,,,
2026/5/5,二,定期定額扣款,現金,-1959,,投資,,,,,,,,
2026/5/5,二,小七,J卡Point,,-301,家用,,,,,,,,
2026/5/6,三,早餐,現金,-48,,食,,,,,,,,
2026/5/6,三,午餐,現金,-160,,食,,,,,,,,
2026/5/6,三,米,現金,-190,,家用,,,,,,,,
2026/5/7,四,早餐,熊卡,,-59,食,,,,,,,,
2026/5/7,四,午餐,現金,-145,,食,,,,,,,,
2026/5/7,四,晚餐,J卡Point,,-542,家用,,,,,,,,
2026/5/7,四,蝦皮,現金,-1411,,其它,代墊小灶芥花油550,,,,,,,
2026/5/7,四,晚餐,現金,-105,,食,,,,,,,,
2026/5/8,五,早餐,現金,-65,,食,,,,,,,,
2026/5/8,五,午餐,現金,-100,,食,,,,,,,,
2026/5/8,五,飲料,J卡Point,,-140,食,,,,,,,,
2026/5/8,五,阿球給飲料錢,收入,70,,收入,,,,,,,,
2026/5/8,五,晚餐,J卡Point,,-292,家用,,,,,,,,
2026/5/8,五,康是美,J卡Point,,-422,家用,,,,,,,,
2026/5/9,六,日昇管理費,現金,-3450,,住,,,,,,,,
